tile,year,label,area
223064,2023,3,1067860.3509993877
223064,2023,4,112591.86297064339
223064,2023,12,21859.904245620764
223064,2023,15,3160011.1849317215
223064,2023,18,65199.76353393776
223064,2023,25,38259.75230392318
223064,2023,33,86882.12593829416
223065,2023,3,788246.3872068982
223065,2023,4,199821.7363918337
223065,2023,12,64260.46845678509
223065,2023,15,3312584.163365161
223065,2023,18,74978.41193205141
223065,2023,25,49503.88637511701
223065,2023,33,51635.79895290284
223066,2023,3,769116.5155233653
223066,2023,4,610342.7827364175
223066,2023,12,275964.7050015774
223066,2023,15,2559302.6074832417
223066,2023,18,213565.18906204434
223066,2023,25,53323.40001008883
223066,2023,33,44562.99130779506
223067,2023,3,983362.6514565628
223067,2023,4,991426.8995303025
223067,2023,12,802284.8708718618
223067,2023,15,1425438.4190814523
223067,2023,18,296324.3236250559
223067,2023,25,48590.52912385853
223067,2023,33,42041.824796803165
223068,2023,3,560554.2542646768
223068,2023,4,1237553.0416752945
223068,2023,12,1598703.9717548166
223068,2023,15,921261.8749207368
223068,2023,18,150287.54491727176
223068,2023,25,58340.6450479513
223068,2023,33,42359.731282141096
223069,2023,3,466475.93554286915
223069,2023,4,1088703.8274926147
223069,2023,12,1103258.416059034
223069,2023,15,1702582.2748207357
223069,2023,18,95044.406372443
223069,2023,25,54491.61625498066
223069,2023,33,35933.35361658146
223070,2023,3,527635.5952482561
223070,2023,4,798174.7658321077
223070,2023,12,672666.7770701806
223070,2023,15,2316714.1101009347
223070,2023,18,127253.19102436957
223070,2023,25,49084.691202590904
223070,2023,33,29810.82765493686
223071,2023,3,448787.5337057836
223071,2023,4,545069.8678209246
223071,2023,12,107014.01647522695
223071,2023,15,3052943.9596895557
223071,2023,18,256347.63936059264
223071,2023,25,65130.28083831116
223071,2023,33,17764.35094908909
224065,2023,3,2042013.3724160462
224065,2023,4,53801.718355568766
224065,2023,12,55246.11858353928
224065,2023,15,2272692.101231048
224065,2023,18,11858.288894364505
224065,2023,25,99285.0361363842
224065,2023,33,6136.747758724298
